Name Country Purpose Altitude Period Mass Year Lifetime
"EROS B-1" "NR" "Earth Observation" 514 94.8 350 2006 10
"Es'hail-2" "NR (11/18)" "Communications" 35798 1436.1 5300 2018 15
"Eurasiasat 1" "Turkey" "Communications" 35810 1436.06 3535 2001 15
"Eutelsat 10A" "France" "Communications" 35822 1436.09 5900 2009 15
"Eutelsat 113 West-A" "Mexico" "Communications" 35796 1436.1 5456 2006 15
"Eutelsat 117 West A" "Mexico" "Communications" 35795 1436.1 5474 2013 15
"Eutelsat 117 West B" "Mexico" "Communications" 35795 1436.1 5500 2016 15
"Eutelsat 12 West A" "France" "Communications" 35805 1436.1 2700 2002 15
"Eutelsat 172A" "USA" "Communications" 35799 1436.1 5000 2005 16
"Eutelsat 172B" "France" "Communications" 35816 1436.1 3600 2017 15
"Eutelsat 33A" "France" "Communications" 35790 1436.06 1525 2003 10
"Eutelsat 33C" "France" "Communications" 35794 1436.1 2950 2001 12
"Eutelsat 36A" "France" "Communications" 35806 1436.08 3190 2000 12
"Eutelsat 36B" "France" "Communications" 35787 1436.09 5600 2009 15
"Eutelsat 3B" "France" "Communications" 35791 1436.1 5967 2014 15
"Eutelsat 48B" "France" "Communications" 35797 1436.12 5102 2012 15
"Eutelsat 5 West A" "France" "Communications" 35805 1436.08 4050 2002 15
"Eutelsat 65 West-A" "France" "Communications" 35796 1436.07 6654 2016 15
"Eutelsat 7 West A" "France" "Communications" 35799 1436.09 4600 2011 15
"Eutelsat 70B" "France" "Communications" 35800 1436.28 5250 2012 15
"Eutelsat 7A" "France" "Communications" 35802 1436.07 4300 2004 15
"Eutelsat 7B" "France" "Communications" 35794 1436.21 5404 2013 15
"Eutelsat 8 West A" "France" "Communications" 35806 1436.1 3150 2001 15
"Eutelsat 8 West B" "NR" "Communications" 35814 1436.1 5800 2015 15
"Eutelsat Hot Bird 13A" "France" "Communications" 35815 1436.06 3800 2002 12
"Eutelsat 9A" "France" "Communications" 35799 1436.1 4100 2006 15
"Eutelsat Hot Bird 13D" "France" "Communications" 35806 1436.07 4892 2009 15
"Eutelsat Hot Bird 13B" "France" "Communications" 35812 1436.06 4900 2006 15
"Eutelsat Hot Bird 13C" "France" "Communications" 35787 1436.09 4880 2008 15
"Eutelsat Hot Bird 13E" "France" "Communications" 35792 1436.06 5200 2016 15
"Eutelsat KA-SAT 9A" "France" "Communications" 35856 1436.01 6150 2010 15
"Express AM-22" "Russia" "Communications" 35790 1436.06 2600 2003 12
"Express AMU1" "Russia" "Communications" 35795 1436.1 2700 2015 15
"Express-A1R" "Russia" "Communications" 35798 1436.1 2600 2002 10
"Express-AM2" "Russia" "Communications" 35788 1436.1 2542 2005 12
"Express-AM3" "Russia" "Communications" 35795 1436.1 2600 2005 12
"Express-AM33" "Russia" "Communications" 35791 1436.1 2600 2008 12
"Express-AM44" "Russia" "Communications" 35995 1446.57 2532 2009 12
"Express-AM5" "Russia" "Communications" 35940 1430.6 3400 2013 15
"Express-AM6" "Russia" "Communications" 37636 1440.09 3358 2014 15
"Express-AM7" "Russia" "Communications" 35796 1436.1 5720 2015 15
"Express-AM8" "Russia" "Communications" 35788 1436.09 2100 2015 15
"Express-AT1" "Russia" "Communications" 35804 1436.4 1726 2014 15
"Express-AT2" "Russia" "Communications" 35715 1429.75 1427 2014 15
"Fengyun 2E" "China" "Earth Observation" 35803 1436.04 1390 2008 3
"Fengyun 2F" "China" "Earth Observation" 35816 1436.19 1390 2012 3
"Fengyun 4H" "NR (10/18)" "Earth Observation" 35804 1436.1 1380 2018 5
"Fengyun 3D" "NR (3/18)" "Earth Observation" 812 101.1 2300 2017 8
"Firebird-C" "USA" "Space Science" 667 95.7 2 2015 0.25
"Firebird-D" "USA" "Space Science" 675 97.7 2 2015 0.25
"FLP" "Germany" "Earth Observation/Space Science" 606 96.6 120 2017 2
"USA 46" "USA" "Communications" 35829 1436.13 2310 1989 5
"FormoSat-5" "NR (10/17)" "Earth Observation" 729 99.1 525 2017 5
"Fast On-orbit Recording of Transient Events) FORTÉ " "USA" "Earth Observation" 823 101 215 1997 3
"Fox-1A" "NR" "Communications/Technology Development" 802 97.7 1 2015 11
"Galaxy-11" "USA" "Communications" 35795 1436.11 4488 1999 14
"Galaxy-12" "USA" "Communications" 35796 1436.07 1760 2003 15
"Galaxy-13" "USA" "Communications" 35790 1436.07 4060 2003 15
"Galaxy-14" "USA" "Communications" 35795 1436.07 2086 2005 15
"Galaxy-15" "USA" "Communications" 35795 1436.07 2033 2005 15
"Galaxy-16" "USA" "Communications" 35798 1436.1 4640 2006 15
"Galaxy-17" "USA" "Communications" 35799 1436.1 4100 2007 15
"Galaxy-18" "USA" "Communications" 35798 1436.1 4642 2008 15
"Galaxy-19" "USA" "Communications" 35796 1436.1 4690 2008 15
"Galaxy-25" "USA" "Communications" 35801 1436.08 3515 1997 13
"Galaxy-28" "USA" "Communications" 35798 1436.1 5493 2005 13
"Galaxy-3C" "USA" "Communications" 35788 1436.11 4860 2002 15
"Galileo FOC FM1" "NR" "Navigation/Global Positioning" 25971 776.25 733 2014 12
"Galileo FOC FM10" "NR (12/16)" "Navigation/Global Positioning" 23280 847.01 723 2016 12
"Galileo FOC FM11" "NR (12/16)" "Navigation/Global Positioning" 23530 856.9 723 2016 12
"Galileo FOC FM12" "NR (12/16)" "Navigation/Global Positioning" 23055 846 723 2016 12
"Galileo FOC FM13" "NR (12/16)" "Navigation/Global Positioning" 22982 834 723 2016 12
